id_str,lang,created_ts,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,text,user.id_str,user.screen_name,user.friends_count,user.statuses_count,user.followers_count,user.favourites_count,user.utc_offset,user.time_zone,user.created_ts,codes.0.first_code,codes.0.second_code.0,codes.0.second_code.1,codes.0.second_code.2,codes.0.second_code.3,geo.coordinates.0,geo.coordinates.1,entities.user_mentions.0.id_str,entities.user_mentions.0.screen_name,entities.user_mentions.1.id_str,entities.user_mentions.1.screen_name,entities.user_mentions.2.id_str,entities.user_mentions.2.screen_name,entities.user_mentions.3.id_str,entities.user_mentions.3.screen_name,entities.user_mentions.4.id_str,entities.user_mentions.4.screen_name,entities.user_mentions.5.id_str,entities.user_mentions.5.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.urls.0.display_url,entities.urls.0.expanded_url,entities.urls.1.display_url,entities.urls.1.expanded_url,entities.urls.2.display_url,entities.urls.2.expanded_url,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.time_zone,retweeted_status.user.friends_count,retweeted_status.user.statuses_count,retweeted_status.user.followers_count
544330091422294000,en,2014-12-15T03:16:21Z,,,,"RT @tomsteinfort: Terrifying photo of hostages in Martin Place in Sydney, being held by men waving an ISIS flag http://t.co/6ozBRQVNlG",119834432,Ark289,399,31480,399,1243,-10800,Santiago,2010-03-04T19:49:27Z,Affirm,,,,,,,25777812,tomsteinfort,,,,,,,,,,,,,,,,,,,,,,,5.44E+17,Sun Dec 14 23:17:34 +0000 2014,"Terrifying photo of hostages in Martin Place in Sydney, being held by men waving an ISIS flag http://t.co/6ozBRQVNlG",639,99,tomsteinfort,25777812,Melbourne,390,753,14630
544330095083941000,en,2014-12-15T03:16:22Z,,,,"RT @MaajidNawaz: This is flag used in Sydney attack.Ideologically,it's Islamist.Operationally,could be al-Qaida,ISIL,or ""self-starter"" http‰Û_",2738619012,joelchulsey,94,2050,34,510,-21600,Central Time (US & Canada),2014-08-17T01:07:44Z,Deny,Adjudicate,,,,,,46078438,MaajidNawaz,,,,,,,,,,,,,,,,,,,,,,,5.44E+17,Mon Dec 15 01:38:31 +0000 2014,"This is flag used in Sydney attack.Ideologically,it's Islamist.Operationally,could be al-Qaida,ISIL,or ""self-starter"" http://t.co/yEMjO3Qz7f",76,19,MaajidNawaz,46078438,London,353,26066,31390
544330105359585000,en,2014-12-15T03:16:24Z,,,,Black standard flag in Martin Place siege symbol of jihad and ISIS http://t.co/KGBXHHuB9n‰ÛÈ‰ÛÈBlack flag black mind.,90389320,medbd333,537,745,65,1,-39600,International Date Line West,2009-11-16T13:08:20Z,Unrelated,Ambiguity,Adjudicate,,,,,,,,,,,,,,,,,,,,,,,news.com.au/national/what-‰Û_,http://www.news.com.au/national/what-does-the-black-standard-flag-carried-by-isis-supporters-and-jihadists-mean/story-fncynjr2-1227156323738,,,,,,,,,,,,,,,
544330139606077000,en,2014-12-15T03:16:33Z,,,,"RT @NBCNews: Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.co‰Û_",2792231265,anonymouslyoo,249,4210,193,1502,,,2014-09-29T17:33:34Z,Deny,,,,,,,14173315,NBCNews,,,,,,,,,,,,,,,,,nbcnews.to/1yPUwpJ,http://nbcnews.to/1yPUwpJ,,,,,5.44E+17,Mon Dec 15 02:51:53 +0000 2014,"Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.co/ZtjDvjTt9c",109,20,NBCNews,14173315,Eastern Time (US & Canada),2894,44337,1954299
544330166885834000,en,2014-12-15T03:16:39Z,,,,Hostages Taken in #Sydney Cafe as Islamic Flag Reportedly Flown #Australia #ISIS #sydneysiege  http://t.co/wdH5naYO01,53525377,aramiskenderian,734,13851,792,1454,-28800,Pacific Time (US & Canada),2009-07-03T22:59:07Z,Deny,Adjudicate,,,,,,,,,,,,,,,,,,Sydney,Australia,ISIS,sydneysiege,,,bloomberg.com/politics/artic‰Û_,http://www.bloomberg.com/politics/articles/2014-12-14/hostages-taken-in-sydney-cafe-as-islamic-flag-reportedly-flown,,,,,,,,,,,,,,,
544330171076325000,en,2014-12-15T03:16:40Z,someone92883220,5.44E+17,2891315523,"@someone92883220 the ""expert"" giving #NBC false #Sydney #Australia flag info is from #newyork firm #ISIS posted on hostage pics",2891315523,someone92883220,12,1137,14,60,,,2014-11-24T21:38:25Z,Deny,Ambiguity,,,,,,2891315523,someone92883220,,,,,,,,,,,NBC,Sydney,Australia,newyork,ISIS,,,,,,,,,,,,,,,,,,
544330207059267000,en,2014-12-15T03:16:49Z,,,,RT @DailyMailAU: SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window http://t.co/9K3XXEiSFa http://t.co/cATxCjYXpy,28319081,timosteyn,264,8512,428,99,10800,Nairobi,2009-04-02T11:18:41Z,Affirm,,,,,,,1960878613,DailyMailAU,,,,,,,,,,,,,,,,,dailym.ai/134wluW,http://dailym.ai/134wluW,,,,,5.44E+17,Sun Dec 14 23:27:39 +0000 2014,SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window http://t.co/9K3XXEiSFa http://t.co/cATxCjYXpy,398,48,DailyMailAU,1960878613,Eastern Time (US & Canada),130,573,1196
544330209596416000,en,2014-12-15T03:16:49Z,,,,RT @BiryaniNazi: @AsnaSays someone has taken few people hostage in a cafe in Sydney.. carrying a flag of ISIS :(,1456100773,BoBhoomi,281,27283,528,11519,19800,New Delhi,2013-05-25T05:33:50Z,Affirm,,,,,,,21572577,BiryaniNazi,371636368,AsnaSays,,,,,,,,,,,,,,,,,,,,,5.44E+17,Mon Dec 15 03:08:20 +0000 2014,@AsnaSays someone has taken few people hostage in a cafe in Sydney.. carrying a flag of ISIS :(,1,0,BiryaniNazi,21572577,Hawaii,421,54089,1312
544330211576512000,en,2014-12-15T03:16:50Z,,,,"RT @NBCNews: Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.co‰Û_",16538183,pattiallen,326,1490,221,244,-18000,Eastern Time (US & Canada),2008-10-01T01:17:16Z,Deny,,,,,,,14173315,NBCNews,,,,,,,,,,,,,,,,,nbcnews.to/1yPUwpJ,http://nbcnews.to/1yPUwpJ,,,,,5.44E+17,Mon Dec 15 02:51:53 +0000 2014,"Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.co/ZtjDvjTt9c",110,20,NBCNews,14173315,Eastern Time (US & Canada),2894,44334,1954229
544330225858150000,en,2014-12-15T03:16:53Z,,,,"RT @tomsteinfort: Terrifying photo of hostages in Martin Place in Sydney, being held by men waving an ISIS flag http://t.co/6ozBRQVNlG",96616687,AlvaroAguilarH,1969,28096,888,2223,-10800,Santiago,2009-12-13T20:13:18Z,Affirm,,,,,,,25777812,tomsteinfort,,,,,,,,,,,,,,,,,,,,,,,5.44E+17,Sun Dec 14 23:17:34 +0000 2014,"Terrifying photo of hostages in Martin Place in Sydney, being held by men waving an ISIS flag http://t.co/6ozBRQVNlG",640,99,tomsteinfort,25777812,Melbourne,390,753,14630
